text,label
Parkinson disease resting tremor bradykinesia cogwheel rigidity micrographia (variant),neurology
multiple sclerosis relapsing remitting optic neuritis white matter lesions MRI,neurology
multiple sclerosis relapsing remitting optic neuritis white matter lesions MRI (variant),neurology
generalized tonic clonic seizure post-ictal confusion EEG abnormal,neurology
generalized tonic clonic seizure post-ictal confusion EEG abnormal (variant),neurology
Alzheimer dementia memory loss personality change PET amyloid,neurology
Alzheimer dementia memory loss personality change PET amyloid (variant),neurology
meningitis fever headache stiff neck CSF pleocytosis neutrophils bacterial,neurology
meningitis fever headache stiff neck CSF pleocytosis neutrophils bacterial (variant),neurology
myasthenia gravis ptosis diplopia fatigable weakness repetitive nerve stimulation,neurology
myasthenia gravis ptosis diplopia fatigable weakness repetitive nerve stimulation (variant),neurology
transient ischemic attack limb weakness resolved 24 hours carotid stenosis,neurology
transient ischemic attack limb weakness resolved 24 hours carotid stenosis (variant),neurology
spinal cord compression myelopathy hyperreflexia Babinski positive MRI,neurology
spinal cord compression myelopathy hyperreflexia Babinski positive MRI (variant),neurology
peripheral neuropathy distal stocking glove sensory loss diabetes,neurology
peripheral neuropathy distal stocking glove sensory loss diabetes (variant),neurology
essential tremor action tremor bilateral hands alcohol responsive,neurology
essential tremor action tremor bilateral hands alcohol responsive (variant),neurology
cerebral venous thrombosis headache papilledema seizure OCP use,neurology
cerebral venous thrombosis headache papilledema seizure OCP use (variant),neurology
diabetic ketoacidosis polydipsia polyuria Kussmaul breathing high glucose anion gap,endocrinology
diabetic ketoacidosis polydipsia polyuria Kussmaul breathing high glucose anion gap (variant),endocrinology
type 2 diabetes obesity HbA1c 9 metformin SGLT2 lifestyle modification,endocrinology
type 2 diabetes obesity HbA1c 9 metformin SGLT2 lifestyle modification (variant),endocrinology
Graves disease hyperthyroid exophthalmos diffuse goiter TSH suppressed T4 high,endocrinology
Graves disease hyperthyroid exophthalmos diffuse goiter TSH suppressed T4 high (variant),endocrinology
hypothyroidism fatigue cold intolerance weight gain TSH elevated levothyroxine,endocrinology
hypothyroidism fatigue cold intolerance weight gain TSH elevated levothyroxine (variant),endocrinology
Cushing syndrome central obesity moon face buffalo hump cortisol elevated,endocrinology
Cushing syndrome central obesity moon face buffalo hump cortisol elevated (variant),endocrinology
primary hyperaldosteronism hypertension hypokalemia aldosterone renin ratio,endocrinology
primary hyperaldosteronism hypertension hypokalemia aldosterone renin ratio (variant),endocrinology
pheochromocytoma episodic hypertension headache diaphoresis palpitations,endocrinology
pheochromocytoma episodic hypertension headache diaphoresis palpitations (variant),endocrinology
acromegaly enlarged hands feet jaw prognathism IGF-1 elevated GH pituitary,endocrinology
acromegaly enlarged hands feet jaw prognathism IGF-1 elevated GH pituitary (variant),endocrinology
Addison disease hyperpigmentation hyponatremia hyperkalemia low cortisol,endocrinology
Addison disease hyperpigmentation hyponatremia hyperkalemia low cortisol (variant),endocrinology
prolactinoma amenorrhea galactorrhea elevated prolactin dopamine agonist,endocrinology
prolactinoma amenorrhea galactorrhea elevated prolactin dopamine agonist (variant),endocrinology
hypercalcemia nephrolithiasis elevated PTH primary hyperparathyroidism,endocrinology
hypercalcemia nephrolithiasis elevated PTH primary hyperparathyroidism (variant),endocrinology
PCOS irregular menstruation androgen excess polycystic ovaries insulin resistance,endocrinology
PCOS irregular menstruation androgen excess polycystic ovaries insulin resistance (variant),endocrinology
hypoglycemia sweating confusion Whipple triad insulin overdose glucagon,endocrinology
hypoglycemia sweating confusion Whipple triad insulin overdose glucagon (variant),endocrinology
thyroid nodule cold nodule fine needle aspiration biopsy papillary cancer,endocrinology
thyroid nodule cold nodule fine needle aspiration biopsy papillary cancer (variant),endocrinology
MEN1 syndrome parathyroid pituitary pancreatic tumors familial,endocrinology
MEN1 syndrome parathyroid pituitary pancreatic tumors familial (variant),endocrinology
